iter	RMSE	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
0	0.2026594765	0.114125	0.5054515879	0.1229560764
5	0.1852534069	0.168	0.5762661893	0.1933553819
10	0.177455407	0.176375	0.5846728867	0.2083538194
15	0.174003023	0.18175	0.5918920675	0.2153722222
20	0.1724381472	0.184125	0.5947289746	0.2203401042
25	0.1716118451	0.18525	0.5957034084	0.2220744792
30	0.1711136155	0.185625	0.5939054476	0.2238395833
35	0.1707865374	0.186375	0.5953169385	0.225315625
40	0.1705162746	0.1875	0.5986480623	0.2280190972
45	0.1702843	0.1885	0.5982835777	0.2298480903
50	0.1700768102	0.189	0.5995533582	0.2303026042
55	0.1698960163	0.188875	0.5992969122	0.2305470486
60	0.1697276344	0.190125	0.6002686317	0.2311539931
65	0.1695920025	0.1905	0.6006287508	0.2318559028
70	0.1694562393	0.1905	0.6013522714	0.2314942708
75	0.1693141033	0.1905	0.6009418208	0.2315194444
80	0.1691963047	0.191	0.6016157025	0.2327862847
85	0.169078447	0.191	0.6016144398	0.2330840278
90	0.1689355878	0.191875	0.6041456898	0.2336661458
95	0.1688166681	0.192125	0.6038312508	0.2342477431
100	0.1687123665	0.193	0.605229488	0.2349904514
105	0.1686043228	0.193125	0.6048485356	0.2347678819
110	0.1684951901	0.193125	0.6046206358	0.2350282986
115	0.1684064308	0.194125	0.6061433022	0.2360878472
120	0.1683231582	0.194625	0.607202109	0.2362399306
125	0.1682200021	0.194875	0.6079069702	0.2366451389
130	0.1681436287	0.19525	0.6082961296	0.2373267361
135	0.168041208	0.19575	0.6086953112	0.2386788194
140	0.1679452093	0.196125	0.6092503481	0.2384939236
145	0.1678434525	0.19625	0.6085190077	0.238571875
150	0.1677477103	0.196375	0.607965745	0.2395956597
155	0.1676543944	0.196875	0.6083871766	0.2406394097
160	0.1675682966	0.198	0.6094178272	0.2418255208
165	0.1674941019	0.1975	0.6088858713	0.2415654514
170	0.167409627	0.19775	0.6087608828	0.2420118056
175	0.1673330536	0.197875	0.6087816665	0.2421727431
180	0.1672513011	0.198625	0.6105733981	0.2423883681
185	0.167181772	0.1995	0.6110520306	0.2430369792
190	0.1670997986	0.2	0.6110524503	0.2433305556
195	0.1670157044	0.200375	0.6122808729	0.2438829861
200	0.1669413801	0.199375	0.611508294	0.2443576389
205	0.1668767847	0.199625	0.6114754414	0.2445512153
210	0.1668090201	0.19975	0.6115929151	0.2456453125
215	0.1667391825	0.200125	0.6119867149	0.2452182292
220	0.166679345	0.2	0.6127816916	0.2450432292
225	0.1666156249	0.2	0.6121327849	0.2453340278
230	0.1665482737	0.2	0.6113649503	0.2460925347
235	0.1664795761	0.200375	0.6116317772	0.2460828125
240	0.1664129927	0.200875	0.6124570827	0.246896875
245	0.1663434082	0.20075	0.6133182051	0.2471461806
250	0.1662756205	0.201	0.6135116575	0.2472763889
255	0.1661963249	0.2015	0.6146222345	0.2480861111
260	0.1661399464	0.201375	0.6142384625	0.2482760417
265	0.1660834009	0.20175	0.6145631685	0.2488755208
270	0.1660177402	0.20225	0.6151484328	0.2494583333
275	0.1659639787	0.20175	0.6143165875	0.2491989583
280	0.1659031296	0.202125	0.6142421828	0.249315625
285	0.165835084	0.2025	0.6144654407	0.2497779514
290	0.1657852762	0.2025	0.6141227411	0.2500440972
295	0.165738961	0.203	0.6153402511	0.2505380208
300	0.1656805244	0.20275	0.6137107868	0.2502744792
305	0.1656196882	0.20325	0.6153369685	0.25113125
310	0.1655593524	0.202875	0.6153954506	0.2514395833
315	0.1655013519	0.203625	0.6168609764	0.2521592014
320	0.1654350229	0.20375	0.6170172264	0.2529993056
325	0.1653870318	0.204	0.6167322562	0.2535012153
330	0.1653370343	0.204625	0.6172359764	0.2541447917
335	0.1652860136	0.205375	0.6179483524	0.2548711806
340	0.1652371348	0.2055	0.6180872413	0.2550638889
345	0.1651900716	0.20525	0.617910158	0.2551333333
350	0.1651334903	0.205	0.6175756227	0.2548130208
355	0.1650859202	0.205875	0.6186936783	0.2557423611
360	0.1650391973	0.2065	0.6195946185	0.2565465278
365	0.1649815151	0.20675	0.6201032609	0.2570149306
370	0.1649223871	0.20625	0.6189998383	0.2567498264
375	0.1648691068	0.206375	0.6196873383	0.2570220486
380	0.164825003	0.206125	0.6190407609	0.2572065972
385	0.1647737374	0.206375	0.6191274424	0.2573565972
390	0.1647209344	0.206625	0.6196848581	0.2573076389
395	0.1646632976	0.20675	0.6197754107	0.25794375
400	0.1646128293	0.2065	0.6188021315	0.2575430556
405	0.1645658308	0.206875	0.6193686379	0.2578628472
410	0.1645151441	0.207	0.619433618	0.2578717014
415	0.164468424	0.207125	0.6193815347	0.2585222222
420	0.1644201193	0.207	0.6198385201	0.2588998264
425	0.1643784413	0.207375	0.620633163	0.2591038194
430	0.1643370514	0.207625	0.6201852463	0.2595376736
435	0.1642898561	0.208	0.6200754993	0.2600628472
440	0.1642412158	0.208375	0.6214356183	0.2601928819
445	0.1641945673	0.208875	0.6215502017	0.2609057292
450	0.1641434668	0.208375	0.6216293683	0.2607689236
455	0.1640920435	0.209125	0.6224014036	0.2605461806
460	0.1640467149	0.2095	0.6233798262	0.2611760417
465	0.1639957574	0.209875	0.623970104	0.2620050347
470	0.1639408443	0.210375	0.6242255603	0.2621171875
475	0.1638845333	0.2105	0.6250093286	0.2625442708
480	0.1638346056	0.21025	0.624093406	0.2626402778
485	0.1637897658	0.21075	0.6243954894	0.2629371528
490	0.1637438407	0.21075	0.6243942111	0.2632828125
495	0.1636988734	0.211375	0.6254443103	0.2640949653
500	0.1636551725	0.211625	0.6255653039	0.2644640625
505	0.1636082937	0.2115	0.6258632091	0.2647090278
510	0.1635720636	0.211125	0.6251496675	0.2643413194
515	0.1635289766	0.210875	0.6251265	0.2643324653
520	0.1634824725	0.211125	0.6254684375	0.2645939236
525	0.163441662	0.2115	0.6259322272	0.2649
530	0.1634031971	0.211375	0.6259287054	0.2647395833
535	0.1633477763	0.21125	0.6252295868	0.2650039931
540	0.1633109822	0.21125	0.6257764618	0.2653414931
545	0.1632686966	0.2115	0.6256879201	0.2656901042
550	0.1632230998	0.2125	0.6271124852	0.2666210069
555	0.1631827864	0.212875	0.6278788542	0.2672244792
560	0.1631369518	0.21275	0.6277746875	0.2667470486
565	0.163093932	0.213125	0.6273851948	0.2674348958
570	0.1630500056	0.21325	0.6276768615	0.2681848958
575	0.1629945677	0.2135	0.6277356412	0.2685977431
580	0.1629562986	0.2135	0.6281671888	0.2686704861
585	0.1629120734	0.214	0.6285283	0.2689170139
590	0.162877703	0.213375	0.628126126	0.2682819444
595	0.162836487	0.213625	0.6288805903	0.2685295139
600	0.1627991329	0.2135	0.6277893205	0.2683802083
605	0.1627543252	0.21375	0.6278414038	0.2687118056
610	0.1627195087	0.214	0.6284206611	0.2691487847
615	0.1626787211	0.213875	0.6282688753	0.2691637153
620	0.1626431973	0.21375	0.6285074666	0.2692135417
625	0.1625997688	0.21375	0.6278497285	0.2688388889
630	0.1625566148	0.2145	0.6291914944	0.2694873264
635	0.162512726	0.215125	0.6302703634	0.2698185764
640	0.1624688015	0.21525	0.6306036968	0.270271875
645	0.1624227176	0.21475	0.629591792	0.270090625
650	0.1623795166	0.2155	0.6310203634	0.2706704861
655	0.1623378319	0.214625	0.6302371675	0.2702017361
660	0.1623057913	0.215	0.6305407389	0.2706267361
665	0.1622646132	0.21525	0.6308110988	0.2716375
670	0.1622213461	0.21525	0.6308371404	0.2718857639
675	0.1621743795	0.215	0.6308200273	0.2719954861
680	0.1621413664	0.215	0.6309130333	0.2721621528
685	0.1621056851	0.214875	0.6307892508	0.2723053819
690	0.1620662017	0.21575	0.6316332714	0.2724769097
695	0.1620294514	0.21575	0.631440563	0.2731039931
700	0.1619914487	0.215625	0.6313837449	0.2731960069
705	0.1619557981	0.21575	0.6315439857	0.2733230903
710	0.1619129192	0.215875	0.6315834427	0.2735133681
715	0.161869223	0.21575	0.6315157344	0.27340625
720	0.161832412	0.21625	0.6320333054	0.2740706597
725	0.1617919597	0.21575	0.6314663411	0.2742045139
730	0.161753989	0.216125	0.6319611327	0.2750152778
735	0.1617201313	0.216	0.6315139601	0.2748869792
740	0.1616822557	0.2165	0.6323569661	0.2750303819
745	0.1616431004	0.216375	0.6320791883	0.2748664931
750	0.1616106423	0.216375	0.631402105	0.2747927083
755	0.1615723253	0.217125	0.6327170851	0.2756824653
760	0.1615363902	0.217	0.6327632161	0.2761958333
765	0.1615033748	0.217125	0.6336114304	0.2764972222
770	0.1614629841	0.21725	0.6338926804	0.276746875
775	0.1614228713	0.21825	0.6342079085	0.2775878472
780	0.1613896085	0.21825	0.6344683252	0.2778479167
785	0.1613563309	0.2185	0.6349951109	0.2781612847
790	0.1613179214	0.217875	0.6343072227	0.2778873264
795	0.1612792544	0.218375	0.6349724013	0.2782149306
800	0.1612429256	0.218125	0.634810943	0.2783291667
805	0.1612071896	0.218125	0.6347886215	0.2785484375
810	0.1611680151	0.217875	0.6346323715	0.2784612847
815	0.161124638	0.21825	0.6356125303	0.278984375
820	0.1610903994	0.218625	0.635999435	0.2789420139
825	0.1610597309	0.218	0.6344934826	0.2788265625
830	0.1610285671	0.21825	0.6357732445	0.2789131944
835	0.1609908738	0.21875	0.6363052386	0.2794159722
840	0.1609524975	0.2185	0.6351594053	0.2792258681
845	0.1609048393	0.21875	0.635467441	0.2794727431
850	0.1608718147	0.2195	0.6364629767	0.2802112847
855	0.1608415623	0.219875	0.63673381	0.2808519097
860	0.1608099626	0.219875	0.63654631	0.2812230903
865	0.1607793692	0.219625	0.6360567267	0.281378125
870	0.1607402351	0.22025	0.6372035521	0.2820230903
875	0.1607034307	0.220375	0.6371336116	0.2823119792
880	0.1606731707	0.220625	0.6378791473	0.2824076389
885	0.1606364958	0.220625	0.6374451195	0.282225
890	0.1606065208	0.22025	0.6375745838	0.2817994792
895	0.1605690663	0.2205	0.6379287505	0.2819859375
900	0.160536037	0.22075	0.6386678378	0.2825345486
905	0.160502027	0.22075	0.6386479965	0.2826595486
910	0.1604653773	0.221	0.6387741985	0.28295
915	0.1604313523	0.22075	0.6378204696	0.28289375
920	0.1604042302	0.22125	0.6384107474	0.283559375
925	0.1603726652	0.221125	0.6382857474	0.2835239583
930	0.16033514	0.22125	0.6386131283	0.283740625
935	0.16029734	0.22125	0.6388353505	0.2838647569
940	0.160269228	0.221625	0.6389271164	0.2840095486
945	0.160231864	0.221625	0.6391339617	0.2836607639
950	0.1602012004	0.221875	0.6392083664	0.2841121528
955	0.1601622961	0.22225	0.6394940807	0.2844208333
960	0.1601313046	0.2225	0.640498545	0.2853105903
965	0.1600986369	0.2225	0.6406082287	0.2855116319
970	0.1600589893	0.223125	0.6414882474	0.2861142361
975	0.1600295842	0.223375	0.6413788724	0.2859152778
980	0.1599961448	0.22275	0.6408399339	0.2863479167
985	0.159961269	0.22275	0.6409232672	0.2864159722
990	0.1599282272	0.223375	0.641862197	0.2866201389
995	0.1598928922	0.223	0.6412163636	0.2865244792
1000	0.1598622202	0.223125	0.6413882386	0.2865064236
1005	0.1598332477	0.223125	0.640502822	0.2864696181
1010	0.1597957251	0.2235	0.641253566	0.2865026042
1015	0.159767913	0.22375	0.641816066	0.2869394097
1020	0.1597380904	0.223625	0.6414775243	0.2865854167
1025	0.1597065717	0.22425	0.642769191	0.2871725694
1030	0.159675961	0.22425	0.6421774835	0.2872800347
1035	0.1596377864	0.224625	0.6430238377	0.2877010417
1040	0.1595990443	0.22425	0.6427609408	0.2880241319
1045	0.1595644298	0.224375	0.6433755242	0.2880026042
1050	0.1595292004	0.224125	0.6428546908	0.2880293403
1055	0.159495567	0.22425	0.6433755242	0.28803125
1060	0.1594644297	0.2245	0.6430838575	0.2881428819
1065	0.1594317469	0.224875	0.644014289	0.2888434028
1070	0.1594043169	0.224875	0.6442096015	0.2891090278
1075	0.1593704302	0.22525	0.6444231432	0.2893927083
1080	0.1593453651	0.225625	0.6453052117	0.2896925347
1085	0.1593154796	0.2255	0.6452310324	0.289896875
1090	0.1592859048	0.225875	0.6462674907	0.2896513889
1095	0.1592536071	0.226125	0.6464927159	0.2898010417
1100	0.1592197938	0.22625	0.6469763469	0.2906109375
1105	0.1591844801	0.226375	0.6473921455	0.2906717014
1110	0.1591492072	0.226375	0.6470511237	0.2905130208
1115	0.1591166707	0.226875	0.6480431872	0.2910951389
1120	0.1590861819	0.227	0.6481438816	0.2913368056
1125	0.1590570843	0.227375	0.6483727507	0.2915048611
1130	0.1590254225	0.226625	0.6478519173	0.2910793403
1135	0.158997565	0.2265	0.6475220519	0.2907322917
1140	0.1589678904	0.226875	0.6479612881	0.2915182292
1145	0.1589364628	0.227	0.6485366849	0.2922623264
1150	0.1589022243	0.2275	0.649164165	0.2930600694
1155	0.158873467	0.227	0.6483655539	0.2928954861
1160	0.1588430373	0.227	0.6486602193	0.2928302083
1165	0.1588073551	0.2275	0.6492653781	0.2929041667
1170	0.1587741302	0.227875	0.649527107	0.2930392361
1175	0.1587411018	0.22825	0.6498963304	0.2937072917
1180	0.1587108502	0.228125	0.6496210822	0.2937713542
1185	0.1586806335	0.228125	0.649318174	0.2940154514
1190	0.1586497679	0.228875	0.6503692157	0.2949107639
1195	0.1586193523	0.229125	0.6506626185	0.2952682292
1200	0.1585852571	0.229125	0.6495688685	0.2948852431
1205	0.1585608989	0.22875	0.649005674	0.2942289931
1210	0.1585302543	0.228875	0.649262145	0.2941565972
1215	0.1585012177	0.22875	0.6491906713	0.2948855903
1220	0.1584659313	0.228375	0.648857338	0.2953447917
1225	0.1584373557	0.229125	0.6500198109	0.2954260417
1230	0.1584097047	0.22875	0.6495723677	0.2952675347
1235	0.1583789412	0.22925	0.6500361574	0.2958633681
1240	0.1583513942	0.22875	0.6495562467	0.2951453125
1245	0.1583229611	0.229375	0.6500944412	0.2955369792
1250	0.1582963836	0.229375	0.6500040394	0.2957010417
1255	0.1582646839	0.229875	0.6501109342	0.2966503472
1260	0.1582362353	0.230125	0.6502002199	0.2969118056
1265	0.1582073896	0.230125	0.6504802524	0.2966072917
1270	0.1581750677	0.230375	0.6509750441	0.2969578125
1275	0.1581420204	0.230375	0.6513061453	0.2973836806
1280	0.1581119401	0.230875	0.6516778829	0.2981930556
1285	0.1580856867	0.231375	0.652132744	0.2986616319
1290	0.158051975	0.230875	0.6515920694	0.2974809028
1295	0.1580226951	0.23075	0.6514010972	0.2975487847
1300	0.1579927148	0.230875	0.6513896884	0.2979015625
1305	0.1579656238	0.231	0.6510424662	0.2981526042
1310	0.1579403275	0.23125	0.6513436026	0.2984536458
1315	0.157912115	0.23125	0.6515784511	0.2992234375
1320	0.1578828828	0.231125	0.6521290463	0.2993008681
1325	0.1578506008	0.231375	0.6529571713	0.3000869792
1330	0.157821922	0.2315	0.652812082	0.3003722222
1335	0.1577982565	0.231125	0.651905832	0.3001286458
1340	0.1577616092	0.23075	0.65171734	0.2996526042
1345	0.1577247896	0.231375	0.6531074689	0.2998189236
1350	0.157692975	0.232	0.653451963	0.3004397569
1355	0.1576698226	0.232125	0.6532905046	0.3004876736
1360	0.1576386443	0.232125	0.6535656783	0.3007763889
1365	0.1576096237	0.23225	0.65384358	0.3012982639
1370	0.1575768185	0.232125	0.6534137685	0.3011227431
1375	0.1575427682	0.231875	0.6532550384	0.3008581597
1380	0.1575183718	0.232375	0.6536010205	0.3012600694
1385	0.1574886236	0.2325	0.6539482427	0.3015491319
1390	0.1574559327	0.233125	0.6550072705	0.3021751736
1395	0.1574301525	0.233625	0.6551950411	0.3024362847
1400	0.1574021521	0.233375	0.6545328387	0.3023762153
1405	0.1573727924	0.233625	0.6553314498	0.3025605903
1410	0.1573437309	0.233625	0.655271926	0.3027668403
1415	0.1573160847	0.234125	0.6556987117	0.3031694444
1420	0.1572899695	0.234375	0.6559278784	0.3032631944
1425	0.1572644003	0.233875	0.6553341284	0.3029184028
1430	0.1572396896	0.234125	0.6561957355	0.3031949653
1435	0.1572141369	0.234	0.65551518	0.3029546875
1440	0.1571868953	0.23425	0.6558485133	0.3028463542
1445	0.1571553088	0.234375	0.6560047633	0.303015625
1450	0.1571296108	0.234375	0.65548393	0.3033821181
1455	0.1570960969	0.234375	0.6559005966	0.3031326389
1460	0.1570639493	0.234125	0.6550821443	0.3032399306
1465	0.1570373232	0.234	0.6549467276	0.3031487847
1470	0.1569980299	0.234625	0.6562071443	0.3037010417
1475	0.156968397	0.23475	0.6567279776	0.3037276042
1480	0.1569399357	0.235	0.6569571443	0.3037614583
1485	0.1569160301	0.235	0.6563740815	0.3043673611
1490	0.1568857642	0.23525	0.6567981886	0.3045178819
1495	0.156854117	0.23525	0.6563294386	0.3045244792
1500	0.156828485	0.2355	0.656694022	0.3045201389
1505	0.1568002784	0.2355	0.6566692204	0.3048052083
1510	0.156773657	0.235125	0.6562079108	0.3045854167
1515	0.1567456383	0.2355	0.6565154505	0.30519375
1520	0.1567147295	0.235375	0.6563740815	0.3055241319
1525	0.1566867909	0.235625	0.6571240815	0.3062079861
1530	0.1566605296	0.23575	0.6577490815	0.3063329861
1535	0.1566309154	0.236	0.6580020577	0.3063465278
1540	0.1566028959	0.235875	0.6575593493	0.3063324653
1545	0.1565692939	0.235875	0.6576397065	0.306253125
1550	0.1565465282	0.23575	0.6573272065	0.3060090278
1555	0.1565149198	0.23575	0.6572751232	0.3060666667
1560	0.1564856248	0.235875	0.6575529009	0.3057911458
1565	0.1564556884	0.23575	0.657654637	0.3058765625
1570	0.1564264318	0.2365	0.6584504704	0.3067265625
1575	0.1563936758	0.23675	0.6590766723	0.3068017361
1580	0.1563691827	0.236875	0.6591732001	0.3069951389
1585	0.1563407279	0.237125	0.6588817318	0.3071496528
1590	0.1563090779	0.237	0.6588036068	0.3075461806
1595	0.1562814719	0.237125	0.6592567318	0.3078795139
1600	0.1562601606	0.237125	0.6593210175	0.3079645833
1605	0.1562374492	0.23725	0.6595293509	0.3082520833
1610	0.15621184	0.237	0.6597724064	0.3077135417
1615	0.1561842581	0.23725	0.6597463648	0.3076357639
1620	0.1561573663	0.237125	0.6601890731	0.3080638889
1625	0.1561309911	0.23725	0.6601012755	0.3081326389
1630	0.1561084429	0.237125	0.6602798469	0.3081170139
1635	0.1560784838	0.23725	0.6608215136	0.3081326389
1640	0.1560582045	0.237	0.6601072279	0.3078685764
1645	0.1560329716	0.237375	0.6604680909	0.3081237847
1650	0.1560038262	0.23725	0.6600663052	0.3083555556
1655	0.1559760418	0.23725	0.6606392219	0.3085810764
1660	0.1559505554	0.2375	0.6607393822	0.3089786458
1665	0.155928006	0.2375	0.6607393822	0.3090345486
1670	0.1558998436	0.2375	0.6605161679	0.3089489583
1675	0.1558719164	0.238	0.6622036679	0.3094470486
1680	0.1558500353	0.238	0.6617314456	0.3091942708
1685	0.1558238982	0.238125	0.6616945138	0.3097454861
1690	0.1557972758	0.23825	0.662181617	0.3098822917
1695	0.1557666681	0.237875	0.6617081322	0.3097479167
1700	0.1557414959	0.238125	0.6618904238	0.309865625
1705	0.1557118728	0.2385	0.6628517333	0.3100848958
1710	0.1556842853	0.23825	0.6624142333	0.3101947917
1715	0.1556593072	0.23875	0.6628864556	0.3108869792
1720	0.1556305317	0.2385	0.6622604139	0.3109350694
1725	0.1556046815	0.2385	0.6624045111	0.3106842014
1730	0.1555792256	0.2385	0.6618288663	0.3106717014
1735	0.1555573863	0.238625	0.6622974179	0.3106133681
1740	0.1555286751	0.23825	0.6611810488	0.3106388889
1745	0.1555065961	0.238625	0.6615756917	0.3109737847
1750	0.1554810244	0.2385	0.6624052857	0.3109529514
1755	0.1554582905	0.238875	0.6627872301	0.3114039931
1760	0.1554328356	0.239125	0.6632288968	0.3117982639
1765	0.1554067032	0.239	0.6630205635	0.3113182292
1770	0.1553797266	0.239375	0.6634372301	0.3116907986
1775	0.1553597468	0.239375	0.6634037705	0.3122116319
1780	0.1553296767	0.23925	0.6627475205	0.3123609375
1785	0.1553020296	0.239375	0.662566965	0.3124262153
1790	0.1552767654	0.2395	0.6627058539	0.3126866319
1795	0.1552531778	0.2395	0.6627266872	0.3125303819
1800	0.1552266074	0.239625	0.6631359134	0.3128640625
1805	0.1552011893	0.239625	0.6630406753	0.3127616319
1810	0.1551715547	0.240125	0.6633913698	0.3131980903
1815	0.1551508487	0.2405	0.6641488102	0.3137319444
1820	0.1551261677	0.2405	0.6637445062	0.3137524306
1825	0.1551013579	0.240125	0.6634613102	0.3138116319
1830	0.1550788765	0.240375	0.6647299114	0.3139626736
1835	0.1550532677	0.24025	0.6641197924	0.3137855903
1840	0.1550233131	0.24075	0.6653125007	0.3140442708
1845	0.1550042708	0.241125	0.6656015632	0.3143480903
1850	0.1549841009	0.240875	0.6651295665	0.3139782986
1855	0.1549555418	0.240875	0.6646257062	0.314453125
1860	0.1549322555	0.24075	0.6645151136	0.3143878472
1865	0.1549110923	0.241	0.665035947	0.3146503472
1870	0.1548894257	0.240625	0.664254697	0.3143399306
1875	0.154862651	0.240875	0.6643439827	0.3144315972
1880	0.1548378573	0.241375	0.6648730231	0.3149008681
1885	0.1548130514	0.24175	0.6658893921	0.3155440972
1890	0.1547873568	0.24125	0.6651654338	0.3155821181
1895	0.1547652305	0.241625	0.6654935588	0.3152487847
1900	0.1547431428	0.241625	0.6655634767	0.3157607639
1905	0.154714222	0.241875	0.6657569291	0.3159357639
1910	0.1546920434	0.241625	0.6650798458	0.3151253472
1915	0.1546622611	0.241875	0.6653390449	0.3158831597
1920	0.1546400501	0.241875	0.6650920211	0.3157914931
1925	0.1546122296	0.242125	0.6657544715	0.3160428819
1930	0.1545879557	0.241875	0.6656329437	0.3157590278
1935	0.1545616553	0.24225	0.6655483928	0.3162409722
1940	0.1545326671	0.24275	0.666269623	0.3168993056
1945	0.1545045513	0.242625	0.6663303869	0.3167395833
1950	0.1544830702	0.243	0.667123244	0.3171482639
1955	0.1544607749	0.243	0.666403998	0.3172151042
1960	0.154437046	0.243	0.6670200694	0.3171435764
1965	0.1544122007	0.243	0.6673075694	0.3170741319
1970	0.1543842973	0.243125	0.6674906051	0.3172657986
1975	0.1543527901	0.243375	0.6673133978	0.3178704861
1980	0.1543303421	0.242875	0.6668421676	0.3174013889
1985	0.1543012267	0.243	0.6672228495	0.3173390625
1990	0.1542751872	0.243375	0.6678007264	0.317946875
1995	0.1542487833	0.243875	0.6682595558	0.3180769097
1999	0.1542314043	0.243875	0.6683897641	0.3181050347
